"SiglaEmpresa";"NumeroVoo";"DI";"TipoLinha";"AeroportoOrigem";"AeroportoDestino";"PartidaPrevista";"PartidaReal";"ChegadaPrevista";"ChegadaReal";"Situacao";"Justificativa"
"GLO";" 1283";"0";"N";"SBPL";"SBRF";"31/12/2014 04:40";"31/12/2014 04:40";"31/12/2014 06:01";"31/12/2014 06:01";"Realizado";"  "
"GLO";" 1283";"0";"N";"SBPL";"SBRF";"06/12/2014 04:40";"  ";"06/12/2014 06:01";"  ";"Cancelado";"XI"
"GLO";" 1283";"0";"N";"SBPL";"SBRF";"07/12/2014 04:40";"  ";"07/12/2014 06:01";"  ";"Cancelado";"XJ"
"GLO";" 1283";"0";"N";"SBPL";"SBRF";"02/12/2014 04:40";"  ";"02/12/2014 06:01";"  ";"Cancelado";"XJ"
"GLO";" 1283";"0";"N";"SBPL";"SBRF";"25/12/2014 04:40";"25/12/2014 04:40";"25/12/2014 06:01";"25/12/2014 06:01";"Realizado";"  "
"GLO";" 1283";"0";"N";"SBPL";"SBRF";"05/12/2014 04:40";"  ";"05/12/2014 06:01";"  ";"Cancelado";"XJ"
"GLO";" 1283";"0";"N";"SBPL";"SBRF";"20/12/2014 04:40";"20/12/2014 04:40";"20/12/2014 06:01";"20/12/2014 06:01";"Realizado";"  "
"GLO";" 1283";"0";"N";"SBPL";"SBRF";"09/12/2014 04:40";"09/12/2014 04:40";"09/12/2014 06:01";"09/12/2014 06:01";"Realizado";"  "
"GLO";" 1283";"0";"N";"SBPL";"SBRF";"28/12/2014 04:40";"  ";"28/12/2014 06:01";"  ";"Cancelado";"XN"
"GLO";" 1283";"0";"N";"SBPL";"SBRF";"27/12/2014 04:40";"27/12/2014 04:40";"27/12/2014 06:01";"27/12/2014 06:01";"Realizado";"  "
"GLO";" 1283";"0";"N";"SBPL";"SBRF";"21/12/2014 04:40";"  ";"21/12/2014 06:01";"  ";"Cancelado";"XN"
"GLO";" 1283";"0";"N";"SBPL";"SBRF";"14/12/2014 04:40";"  ";"14/12/2014 06:01";"  ";"Cancelado";"XN"
"GLO";" 1283";"0";"N";"SBPL";"SBRF";"24/12/2014 04:40";"24/12/2014 04:40";"24/12/2014 06:01";"24/12/2014 06:01";"Realizado";"  "
"GLO";" 1283";"0";"N";"SBPL";"SBRF";"04/12/2014 04:40";"  ";"04/12/2014 06:01";"  ";"Cancelado";"XJ"
"GLO";" 1283";"0";"N";"SBPL";"SBRF";"13/12/2014 04:40";"13/12/2014 04:40";"13/12/2014 06:01";"13/12/2014 06:01";"Realizado";"  "
"GLO";" 1283";"0";"N";"SBPL";"SBRF";"10/12/2014 04:40";"10/12/2014 04:40";"10/12/2014 06:01";"10/12/2014 06:01";"Realizado";"  "
"GLO";" 1283";"0";"N";"SBPL";"SBRF";"12/12/2014 04:40";"12/12/2014 04:40";"12/12/2014 06:01";"12/12/2014 06:01";"Realizado";"  "
"GLO";" 1283";"0";"N";"SBPL";"SBRF";"01/12/2014 04:40";"  ";"01/12/2014 06:01";"  ";"Cancelado";"XJ"
"GLO";" 1283";"0";"N";"SBPL";"SBRF";"23/12/2014 04:40";"23/12/2014 04:40";"23/12/2014 06:01";"23/12/2014 06:01";"Realizado";"  "
"GLO";" 1283";"0";"N";"SBPL";"SBRF";"19/12/2014 04:40";"19/12/2014 04:40";"19/12/2014 06:01";"19/12/2014 06:01";"Realizado";"  "
"GLO";" 1283";"0";"N";"SBPL";"SBRF";"08/12/2014 04:40";"08/12/2014 04:40";"08/12/2014 06:01";"08/12/2014 06:01";"Realizado";"  "
"GLO";" 1283";"0";"N";"SBPL";"SBRF";"16/12/2014 04:40";"16/12/2014 04:40";"16/12/2014 06:01";"16/12/2014 06:01";"Realizado";"  "
"TTL";" 5679";"0";"N";"SBGR";"SBPA";"27/12/2014 04:20";"27/12/2014 04:19";"27/12/2014 06:02";"27/12/2014 05:47";"Realizado";"  "
"TTL";" 5679";"0";"N";"SBGR";"SBPA";"30/12/2014 04:20";"30/12/2014 04:05";"30/12/2014 06:02";"30/12/2014 05:37";"Realizado";"AT"
"TTL";" 5679";"0";"L";"SBGR";"SBPA";"12/12/2014 04:20";"12/12/2014 04:09";"12/12/2014 06:02";"12/12/2014 05:36";"Realizado";"AT"
"AZU";" 2545";"0";"N";"SBSL";"SBCF";"15/12/2014 03:10";"15/12/2014 03:59";"15/12/2014 06:02";"15/12/2014 06:48";"Realizado";"TD"
"TTL";" 5679";"0";"N";"SBGR";"SBPA";"23/12/2014 04:20";"23/12/2014 04:50";"23/12/2014 06:02";"23/12/2014 06:22";"Realizado";"MX"
"AZU";" 5031";"0";"N";"SBFL";"SBCT";"18/12/2014 05:07";"18/12/2014 05:23";"18/12/2014 06:02";"18/12/2014 06:19";"Realizado";"AT"
"TTL";" 5679";"0";"N";"SBGR";"SBPA";"24/12/2014 04:20";"24/12/2014 04:43";"24/12/2014 06:02";"24/12/2014 06:15";"Realizado";"MX"
"AZU";" 5031";"0";"N";"SBFL";"SBCT";"01/12/2014 05:07";"01/12/2014 05:26";"01/12/2014 06:02";"01/12/2014 06:15";"Realizado";"AT"
"TTL";" 5679";"0";"L";"SBGR";"SBPA";"17/12/2014 04:20";"17/12/2014 04:20";"17/12/2014 06:02";"17/12/2014 06:02";"Realizado";"  "
"GLO";" 1759";"0";"R";"SBKG";"SBSV";"15/12/2014 04:45";"15/12/2014 04:45";"15/12/2014 06:02";"15/12/2014 06:02";"Realizado";"  "
"AZU";" 2545";"0";"R";"SBSL";"SBCF";"17/12/2014 03:10";"17/12/2014 03:10";"17/12/2014 06:02";"17/12/2014 06:02";"Realizado";"  "
"AZU";" 5031";"0";"N";"SBFL";"SBCT";"17/12/2014 05:07";"17/12/2014 05:07";"17/12/2014 06:02";"17/12/2014 06:02";"Realizado";"  "
"AZU";" 5031";"0";"N";"SBFL";"SBCT";"03/12/2014 05:07";"03/12/2014 05:07";"03/12/2014 06:02";"03/12/2014 06:02";"Realizado";"  "
"AZU";" 2545";"0";"R";"SBSL";"SBCF";"22/12/2014 03:10";"22/12/2014 03:10";"22/12/2014 06:02";"22/12/2014 06:02";"Realizado";"  "
"AZU";" 5031";"0";"N";"SBFL";"SBCT";"15/12/2014 05:07";"15/12/2014 05:07";"15/12/2014 06:02";"15/12/2014 06:02";"Realizado";"  "
"TTL";" 5679";"0";"L";"SBGR";"SBPA";"26/12/2014 04:20";"26/12/2014 04:20";"26/12/2014 06:02";"26/12/2014 06:02";"Realizado";"  "
"GLO";" 1759";"0";"R";"SBKG";"SBSV";"22/12/2014 04:45";"22/12/2014 04:45";"22/12/2014 06:02";"22/12/2014 06:02";"Realizado";"  "
"AZU";" 2545";"0";"R";"SBSL";"SBCF";"03/12/2014 03:10";"03/12/2014 03:10";"03/12/2014 06:02";"03/12/2014 06:02";"Realizado";"  "
"AZU";" 5031";"0";"N";"SBFL";"SBCT";"26/12/2014 05:07";"  ";"26/12/2014 06:02";"  ";"Cancelado";"XN"
"AZU";" 5031";"0";"N";"SBFL";"SBCT";"22/12/2014 05:07";"22/12/2014 05:07";"22/12/2014 06:02";"22/12/2014 06:02";"Realizado";"  "
"GLO";" 1759";"0";"R";"SBKG";"SBSV";"03/12/2014 04:45";"  ";"03/12/2014 06:02";"  ";"Cancelado";"XN"
"AZU";" 2545";"0";"R";"SBSL";"SBCF";"26/12/2014 03:10";"  ";"26/12/2014 06:02";"  ";"Cancelado";"XN"
"TTL";" 5679";"0";"L";"SBGR";"SBPA";"03/12/2014 04:20";"03/12/2014 04:20";"03/12/2014 06:02";"03/12/2014 06:02";"Realizado";"  "
"GLO";" 1759";"0";"R";"SBKG";"SBSV";"17/12/2014 04:45";"  ";"17/12/2014 06:02";"  ";"Cancelado";"XN"
"GLO";" 1759";"0";"R";"SBKG";"SBSV";"26/12/2014 04:45";"26/12/2014 04:45";"26/12/2014 06:02";"26/12/2014 06:02";"Realizado";"  "
"AZU";" 5031";"0";"N";"SBFL";"SBCT";"30/12/2014 05:07";"  ";"30/12/2014 06:02";"  ";"Cancelado";"XN"
"TTL";" 5679";"0";"L";"SBGR";"SBPA";"18/12/2014 04:20";"18/12/2014 04:20";"18/12/2014 06:02";"18/12/2014 06:02";"Realizado";"  "
"AZU";" 2545";"0";"R";"SBSL";"SBCF";"18/12/2014 03:10";"18/12/2014 03:10";"18/12/2014 06:02";"18/12/2014 06:02";"Realizado";"  "
"GLO";" 1759";"0";"R";"SBKG";"SBSV";"18/12/2014 04:45";"18/12/2014 04:45";"18/12/2014 06:02";"18/12/2014 06:02";"Realizado";"  "
"GLO";" 1759";"0";"R";"SBKG";"SBSV";"30/12/2014 04:45";"  ";"30/12/2014 06:02";"  ";"Cancelado";"XN"
"AZU";" 2545";"0";"R";"SBSL";"SBCF";"30/12/2014 03:10";"30/12/2014 03:10";"30/12/2014 06:02";"30/12/2014 06:02";"Realizado";"  "
"AZU";" 5031";"0";"N";"SBFL";"SBCT";"06/12/2014 05:07";"06/12/2014 05:07";"06/12/2014 06:02";"06/12/2014 06:02";"Realizado";"  "
"TTL";" 5679";"0";"L";"SBGR";"SBPA";"06/12/2014 04:20";"06/12/2014 04:20";"06/12/2014 06:02";"06/12/2014 06:02";"Realizado";"  "
"AZU";" 5031";"0";"N";"SBFL";"SBCT";"11/12/2014 05:07";"11/12/2014 05:07";"11/12/2014 06:02";"11/12/2014 06:02";"Realizado";"  "
"AZU";" 2545";"0";"R";"SBSL";"SBCF";"06/12/2014 03:10";"06/12/2014 03:10";"06/12/2014 06:02";"06/12/2014 06:02";"Realizado";"  "
"GLO";" 1759";"0";"R";"SBKG";"SBSV";"07/12/2014 04:45";"  ";"07/12/2014 06:02";"  ";"Cancelado";"XN"
"AZU";" 2545";"0";"R";"SBSL";"SBCF";"11/12/2014 03:10";"11/12/2014 03:10";"11/12/2014 06:02";"11/12/2014 06:02";"Realizado";"  "
"AZU";" 5031";"0";"N";"SBFL";"SBCT";"29/12/2014 05:07";"  ";"29/12/2014 06:02";"  ";"Cancelado";"XN"
"AZU";" 5031";"0";"N";"SBFL";"SBCT";"31/12/2014 05:07";"  ";"31/12/2014 06:02";"  ";"Cancelado";"XN"
"AZU";" 2545";"0";"R";"SBSL";"SBCF";"29/12/2014 03:10";"29/12/2014 03:10";"29/12/2014 06:02";"29/12/2014 06:02";"Realizado";"  "
"GLO";" 1759";"0";"R";"SBKG";"SBSV";"11/12/2014 04:45";"11/12/2014 04:45";"11/12/2014 06:02";"11/12/2014 06:02";"Realizado";"  "
"GLO";" 1759";"0";"R";"SBKG";"SBSV";"06/12/2014 04:45";"06/12/2014 04:45";"06/12/2014 06:02";"06/12/2014 06:02";"Realizado";"  "
"GLO";" 1759";"0";"R";"SBKG";"SBSV";"29/12/2014 04:45";"29/12/2014 04:45";"29/12/2014 06:02";"29/12/2014 06:02";"Realizado";"  "
"GLO";" 1759";"0";"R";"SBKG";"SBSV";"31/12/2014 04:45";"  ";"31/12/2014 06:02";"  ";"Cancelado";"XN"
"TTL";" 5679";"0";"L";"SBGR";"SBPA";"11/12/2014 04:20";"11/12/2014 04:20";"11/12/2014 06:02";"11/12/2014 06:02";"Realizado";"  "
"AZU";" 2545";"0";"R";"SBSL";"SBCF";"31/12/2014 03:10";"31/12/2014 03:10";"31/12/2014 06:02";"31/12/2014 06:02";"Realizado";"  "
"GLO";" 1759";"0";"R";"SBKG";"SBSV";"28/12/2014 04:45";"  ";"28/12/2014 06:02";"  ";"Cancelado";"XN"
"GLO";" 1759";"0";"R";"SBKG";"SBSV";"05/12/2014 04:45";"05/12/2014 04:45";"05/12/2014 06:02";"05/12/2014 06:02";"Realizado";"  "
"GLO";" 1759";"0";"R";"SBKG";"SBSV";"20/12/2014 04:45";"20/12/2014 04:45";"20/12/2014 06:02";"20/12/2014 06:02";"Realizado";"  "
"AZU";" 5031";"0";"N";"SBFL";"SBCT";"02/12/2014 05:07";"02/12/2014 05:07";"02/12/2014 06:02";"02/12/2014 06:02";"Realizado";"  "
"AZU";" 5031";"0";"N";"SBFL";"SBCT";"05/12/2014 05:07";"05/12/2014 05:07";"05/12/2014 06:02";"05/12/2014 06:02";"Realizado";"  "
"GLO";" 1759";"0";"R";"SBKG";"SBSV";"02/12/2014 04:45";"  ";"02/12/2014 06:02";"  ";"Cancelado";"XN"
"AZU";" 2545";"0";"R";"SBSL";"SBCF";"20/12/2014 03:10";"20/12/2014 03:10";"20/12/2014 06:02";"20/12/2014 06:02";"Realizado";"  "
"AZU";" 5031";"0";"N";"SBFL";"SBCT";"20/12/2014 05:07";"20/12/2014 05:07";"20/12/2014 06:02";"20/12/2014 06:02";"Realizado";"  "
"GLO";" 1759";"0";"R";"SBKG";"SBSV";"25/12/2014 04:45";"25/12/2014 04:45";"25/12/2014 06:02";"25/12/2014 06:02";"Realizado";"  "
"AZU";" 5031";"0";"N";"SBFL";"SBCT";"09/12/2014 05:07";"09/12/2014 05:07";"09/12/2014 06:02";"09/12/2014 06:02";"Realizado";"  "
"AZU";" 2545";"0";"R";"SBSL";"SBCF";"09/12/2014 03:10";"09/12/2014 03:10";"09/12/2014 06:02";"09/12/2014 06:02";"Realizado";"  "
"AZU";" 2545";"0";"R";"SBSL";"SBCF";"02/12/2014 03:10";"02/12/2014 03:10";"02/12/2014 06:02";"02/12/2014 06:02";"Realizado";"  "
"TTL";" 5679";"0";"L";"SBGR";"SBPA";"09/12/2014 04:20";"09/12/2014 04:20";"09/12/2014 06:02";"09/12/2014 06:02";"Realizado";"  "
"TTL";" 5679";"0";"L";"SBGR";"SBPA";"25/12/2014 04:20";"  ";"25/12/2014 06:02";"  ";"Cancelado";"XA"
"TTL";" 5679";"0";"L";"SBGR";"SBPA";"02/12/2014 04:20";"02/12/2014 04:20";"02/12/2014 06:02";"02/12/2014 06:02";"Realizado";"  "
"TTL";" 5679";"0";"L";"SBGR";"SBPA";"05/12/2014 04:20";"05/12/2014 04:20";"05/12/2014 06:02";"05/12/2014 06:02";"Realizado";"  "
"TTL";" 5679";"0";"L";"SBGR";"SBPA";"20/12/2014 04:20";"20/12/2014 04:20";"20/12/2014 06:02";"20/12/2014 06:02";"Realizado";"  "
"AZU";" 5031";"0";"N";"SBFL";"SBCT";"25/12/2014 05:07";"  ";"25/12/2014 06:02";"  ";"Cancelado";"XN"
"AZU";" 2545";"0";"R";"SBSL";"SBCF";"05/12/2014 03:10";"05/12/2014 03:10";"05/12/2014 06:02";"05/12/2014 06:02";"Realizado";"  "
"GLO";" 1759";"0";"R";"SBKG";"SBSV";"09/12/2014 04:45";"  ";"09/12/2014 06:02";"  ";"Cancelado";"XN"
"AZU";" 2545";"0";"R";"SBSL";"SBCF";"25/12/2014 03:10";"  ";"25/12/2014 06:02";"  ";"Cancelado";"XN"
"AZU";" 5031";"0";"N";"SBFL";"SBCT";"04/12/2014 05:07";"04/12/2014 05:07";"04/12/2014 06:02";"04/12/2014 06:02";"Realizado";"  "
"TTL";" 5679";"0";"L";"SBGR";"SBPA";"04/12/2014 04:20";"04/12/2014 04:20";"04/12/2014 06:02";"04/12/2014 06:02";"Realizado";"  "
"AZU";" 5031";"0";"N";"SBFL";"SBCT";"27/12/2014 05:07";"  ";"27/12/2014 06:02";"  ";"Cancelado";"XN"
"GLO";" 1759";"0";"R";"SBKG";"SBSV";"27/12/2014 04:45";"27/12/2014 04:45";"27/12/2014 06:02";"27/12/2014 06:02";"Realizado";"  "
"AZU";" 2545";"0";"R";"SBSL";"SBCF";"04/12/2014 03:10";"04/12/2014 03:10";"04/12/2014 06:02";"04/12/2014 06:02";"Realizado";"  "
"AZU";" 5031";"0";"N";"SBFL";"SBCT";"24/12/2014 05:07";"  ";"24/12/2014 06:02";"  ";"Cancelado";"XN"
"GLO";" 1759";"0";"R";"SBKG";"SBSV";"21/12/2014 04:45";"  ";"21/12/2014 06:02";"  ";"Cancelado";"XN"
"GLO";" 1759";"0";"R";"SBKG";"SBSV";"24/12/2014 04:45";"  ";"24/12/2014 06:02";"  ";"Cancelado";"XN"
"AZU";" 2545";"0";"R";"SBSL";"SBCF";"24/12/2014 03:10";"24/12/2014 03:10";"24/12/2014 06:02";"24/12/2014 06:02";"Realizado";"  "
"GLO";" 1759";"0";"R";"SBKG";"SBSV";"14/12/2014 04:45";"  ";"14/12/2014 06:02";"  ";"Cancelado";"XN"
"GLO";" 1759";"0";"R";"SBKG";"SBSV";"04/12/2014 04:45";"04/12/2014 04:45";"04/12/2014 06:02";"04/12/2014 06:02";"Realizado";"  "
"AZU";" 2545";"0";"R";"SBSL";"SBCF";"27/12/2014 03:10";"27/12/2014 03:10";"27/12/2014 06:02";"27/12/2014 06:02";"Realizado";"  "
"GLO";" 1759";"0";"R";"SBKG";"SBSV";"13/12/2014 04:45";"13/12/2014 04:45";"13/12/2014 06:02";"13/12/2014 06:02";"Realizado";"  "
"GLO";" 1759";"0";"R";"SBKG";"SBSV";"10/12/2014 04:45";"  ";"10/12/2014 06:02";"  ";"Cancelado";"XN"
"AZU";" 2545";"0";"R";"SBSL";"SBCF";"13/12/2014 03:10";"13/12/2014 03:10";"13/12/2014 06:02";"13/12/2014 06:02";"Realizado";"  "
"TTL";" 5679";"0";"L";"SBGR";"SBPA";"10/12/2014 04:20";"10/12/2014 04:20";"10/12/2014 06:02";"10/12/2014 06:02";"Realizado";"  "
"AZU";" 2545";"0";"R";"SBSL";"SBCF";"10/12/2014 03:10";"10/12/2014 03:10";"10/12/2014 06:02";"10/12/2014 06:02";"Realizado";"  "
"AZU";" 5031";"0";"N";"SBFL";"SBCT";"10/12/2014 05:07";"10/12/2014 05:07";"10/12/2014 06:02";"10/12/2014 06:02";"Realizado";"  "
"AZU";" 2545";"0";"R";"SBSL";"SBCF";"12/12/2014 03:10";"12/12/2014 03:10";"12/12/2014 06:02";"12/12/2014 06:02";"Realizado";"  "
"AZU";" 5031";"0";"N";"SBFL";"SBCT";"12/12/2014 05:07";"12/12/2014 05:07";"12/12/2014 06:02";"12/12/2014 06:02";"Realizado";"  "
"GLO";" 1759";"0";"R";"SBKG";"SBSV";"12/12/2014 04:45";"12/12/2014 04:45";"12/12/2014 06:02";"12/12/2014 06:02";"Realizado";"  "
"TTL";" 5679";"0";"L";"SBGR";"SBPA";"13/12/2014 04:20";"13/12/2014 04:20";"13/12/2014 06:02";"13/12/2014 06:02";"Realizado";"  "
"AZU";" 5031";"0";"N";"SBFL";"SBCT";"13/12/2014 05:07";"13/12/2014 05:07";"13/12/2014 06:02";"13/12/2014 06:02";"Realizado";"  "
"AZU";" 2545";"0";"R";"SBSL";"SBCF";"23/12/2014 03:10";"23/12/2014 03:10";"23/12/2014 06:02";"23/12/2014 06:02";"Realizado";"  "
"GLO";" 1759";"0";"R";"SBKG";"SBSV";"23/12/2014 04:45";"  ";"23/12/2014 06:02";"  ";"Cancelado";"XN"
"AZU";" 2545";"0";"R";"SBSL";"SBCF";"01/12/2014 03:10";"01/12/2014 03:10";"01/12/2014 06:02";"01/12/2014 06:02";"Realizado";"  "
"GLO";" 1759";"0";"R";"SBKG";"SBSV";"01/12/2014 04:45";"01/12/2014 04:45";"01/12/2014 06:02";"01/12/2014 06:02";"Realizado";"  "
"AZU";" 5031";"0";"N";"SBFL";"SBCT";"23/12/2014 05:07";"  ";"23/12/2014 06:02";"  ";"Cancelado";"XN"
"AZU";" 5031";"0";"N";"SBFL";"SBCT";"19/12/2014 05:07";"19/12/2014 05:07";"19/12/2014 06:02";"19/12/2014 06:02";"Realizado";"  "
"GLO";" 1759";"0";"R";"SBKG";"SBSV";"19/12/2014 04:45";"19/12/2014 04:45";"19/12/2014 06:02";"19/12/2014 06:02";"Realizado";"  "
"AZU";" 2545";"0";"R";"SBSL";"SBCF";"16/12/2014 03:10";"16/12/2014 03:10";"16/12/2014 06:02";"16/12/2014 06:02";"Realizado";"  "
"TTL";" 5679";"0";"L";"SBGR";"SBPA";"19/12/2014 04:20";"19/12/2014 04:20";"19/12/2014 06:02";"19/12/2014 06:02";"Realizado";"  "
"GLO";" 1759";"0";"R";"SBKG";"SBSV";"16/12/2014 04:45";"  ";"16/12/2014 06:02";"  ";"Cancelado";"XN"
"GLO";" 1759";"0";"R";"SBKG";"SBSV";"08/12/2014 04:45";"08/12/2014 04:45";"08/12/2014 06:02";"08/12/2014 06:02";"Realizado";"  "
"AZU";" 5031";"0";"N";"SBFL";"SBCT";"08/12/2014 05:07";"08/12/2014 05:07";"08/12/2014 06:02";"08/12/2014 06:02";"Realizado";"  "
"AZU";" 2545";"0";"R";"SBSL";"SBCF";"19/12/2014 03:10";"19/12/2014 03:10";"19/12/2014 06:02";"19/12/2014 06:02";"Realizado";"  "
"TTL";" 5679";"0";"L";"SBGR";"SBPA";"16/12/2014 04:20";"16/12/2014 04:20";"16/12/2014 06:02";"16/12/2014 06:02";"Realizado";"  "
"AZU";" 2545";"0";"R";"SBSL";"SBCF";"08/12/2014 03:10";"08/12/2014 03:10";"08/12/2014 06:02";"08/12/2014 06:02";"Realizado";"  "
"AZU";" 5031";"0";"N";"SBFL";"SBCT";"16/12/2014 05:07";"16/12/2014 05:07";"16/12/2014 06:02";"16/12/2014 06:02";"Realizado";"  "
"TTL";" 5679";"0";"N";"SBGR";"SBPA";"31/12/2014 04:20";"31/12/2014 04:15";"31/12/2014 06:02";"31/12/2014 05:48";"Realizado";"  "
"TUS";" 8411";"0";"G";"KMIA";"SBEG";"30/12/2014 01:15";"  ";"30/12/2014 06:03";"  ";"Cancelado";"XN"
"TUS";" 8411";"0";"G";"KMIA";"SBEG";"02/12/2014 01:15";"  ";"02/12/2014 06:03";"  ";"Cancelado";"XN"
"TUS";" 8411";"0";"G";"KMIA";"SBEG";"09/12/2014 01:15";"  ";"09/12/2014 06:03";"  ";"Cancelado";"XN"
"TUS";" 8411";"0";"G";"KMIA";"SBEG";"23/12/2014 01:15";"  ";"23/12/2014 06:03";"  ";"Cancelado";"XN"
"TUS";" 8411";"0";"G";"KMIA";"SBEG";"16/12/2014 01:15";"  ";"16/12/2014 06:03";"  ";"Cancelado";"XN"
"TAM";" 8085";"0";"I";"EGLL";"SBGR";"12/12/2014 18:05";"12/12/2014 19:10";"13/12/2014 06:05";"13/12/2014 07:30";"Realizado";"AR"
"GLO";" 1331";"0";"N";"SBUL";"SBSP";"01/12/2014 04:55";"01/12/2014 06:10";"01/12/2014 06:05";"01/12/2014 07:28";"Realizado";"WO"
"TAM";" 3585";"0";"N";"SBRB";"SBBR";"01/12/2014 02:46";"01/12/2014 03:35";"01/12/2014 06:05";"01/12/2014 06:46";"Realizado";"AR"
"GLO";" 1093";"0";"N";"SBSG";"SBSV";"22/12/2014 04:35";"22/12/2014 05:10";"22/12/2014 06:05";"22/12/2014 06:40";"Realizado";"MA"
"TAM";" 3585";"0";"N";"SBRB";"SBBR";"24/12/2014 02:46";"24/12/2014 03:19";"24/12/2014 06:05";"24/12/2014 06:34";"Realizado";"WO"
"GLO";" 1161";"0";"N";"SBSV";"SBGR";"17/12/2014 03:29";"17/12/2014 04:00";"17/12/2014 06:05";"17/12/2014 06:31";"Realizado";"MX"
"TAM";" 8085";"0";"I";"EGLL";"SBGR";"09/12/2014 18:05";"09/12/2014 18:45";"10/12/2014 06:05";"10/12/2014 06:25";"Realizado";"AR"
"TAM";" 3585";"0";"N";"SBRB";"SBBR";"23/12/2014 02:46";"23/12/2014 03:14";"23/12/2014 06:05";"23/12/2014 06:25";"Realizado";"WA"
"GLO";" 1161";"0";"N";"SBSV";"SBGR";"20/12/2014 03:29";"20/12/2014 03:58";"20/12/2014 06:05";"20/12/2014 06:22";"Realizado";"AF"
"GLO";" 1331";"0";"N";"SBUL";"SBSP";"26/12/2014 04:55";"26/12/2014 05:01";"26/12/2014 06:05";"26/12/2014 06:21";"Realizado";"AJ"
"TAM";" 3585";"0";"N";"SBRB";"SBBR";"18/12/2014 02:46";"18/12/2014 03:09";"18/12/2014 06:05";"18/12/2014 06:19";"Realizado";"AR"
"TAM";" 3585";"0";"N";"SBRB";"SBBR";"06/12/2014 02:46";"06/12/2014 03:08";"06/12/2014 06:05";"06/12/2014 06:13";"Realizado";"AR"
"GLO";" 1161";"0";"N";"SBSV";"SBGR";"23/12/2014 03:29";"23/12/2014 03:47";"23/12/2014 06:05";"23/12/2014 06:09";"Realizado";"AF"
"TAM";" 3585";"0";"N";"SBRB";"SBBR";"03/12/2014 02:46";"03/12/2014 02:46";"03/12/2014 06:05";"03/12/2014 06:05";"Realizado";"  "
"GLO";" 1093";"0";"N";"SBSG";"SBSV";"03/12/2014 04:35";"03/12/2014 04:35";"03/12/2014 06:05";"03/12/2014 06:05";"Realizado";"  "
"GLO";" 1331";"0";"N";"SBUL";"SBSP";"03/12/2014 04:55";"03/12/2014 04:55";"03/12/2014 06:05";"03/12/2014 06:05";"Realizado";"  "
"GLO";" 1161";"0";"R";"SBSV";"SBGR";"03/12/2014 03:29";"03/12/2014 03:29";"03/12/2014 06:05";"03/12/2014 06:05";"Realizado";"  "
"TAM";" 3585";"0";"N";"SBRB";"SBBR";"22/12/2014 02:46";"22/12/2014 02:46";"22/12/2014 06:05";"22/12/2014 06:05";"Realizado";"  "
"GLO";" 1331";"0";"N";"SBUL";"SBSP";"15/12/2014 04:55";"15/12/2014 04:55";"15/12/2014 06:05";"15/12/2014 06:05";"Realizado";"  "
"GLO";" 1161";"0";"R";"SBSV";"SBGR";"22/12/2014 03:29";"22/12/2014 03:29";"22/12/2014 06:05";"22/12/2014 06:05";"Realizado";"  "
"TAM";" 3585";"0";"N";"SBRB";"SBBR";"26/12/2014 02:46";"26/12/2014 02:46";"26/12/2014 06:05";"26/12/2014 06:05";"Realizado";"  "
"GLO";" 1331";"0";"N";"SBUL";"SBSP";"17/12/2014 04:55";"17/12/2014 04:55";"17/12/2014 06:05";"17/12/2014 06:05";"Realizado";"  "
"TAM";" 8085";"0";"I";"EGLL";"SBGR";"26/12/2014 18:05";"26/12/2014 18:05";"27/12/2014 06:05";"27/12/2014 06:05";"Realizado";"  "
"AZU";" 5193";"0";"N";"SBFL";"SBCT";"15/12/2014 05:15";"  ";"15/12/2014 06:05";"  ";"Cancelado";"XN"
"TAM";" 8085";"0";"I";"EGLL";"SBGR";"03/12/2014 18:05";"03/12/2014 18:05";"04/12/2014 06:05";"04/12/2014 06:05";"Realizado";"  "
"TAM";" 8085";"0";"I";"EGLL";"SBGR";"15/12/2014 18:05";"15/12/2014 18:05";"16/12/2014 06:05";"16/12/2014 06:05";"Realizado";"  "
"AZU";" 5193";"0";"N";"SBFL";"SBCT";"22/12/2014 05:15";"  ";"22/12/2014 06:05";"  ";"Cancelado";"XN"
"TAM";" 3585";"0";"N";"SBRB";"SBBR";"17/12/2014 02:46";"17/12/2014 02:46";"17/12/2014 06:05";"17/12/2014 06:05";"Realizado";"  "
"GLO";" 1161";"0";"R";"SBSV";"SBGR";"15/12/2014 03:29";"15/12/2014 03:29";"15/12/2014 06:05";"15/12/2014 06:05";"Realizado";"  "
"AZU";" 5193";"0";"N";"SBFL";"SBCT";"03/12/2014 05:15";"  ";"03/12/2014 06:05";"  ";"Cancelado";"XN"
"TAM";" 8085";"0";"I";"EGLL";"SBGR";"17/12/2014 18:05";"17/12/2014 18:05";"18/12/2014 06:05";"18/12/2014 06:05";"Realizado";"  "
"GLO";" 1331";"0";"N";"SBUL";"SBSP";"22/12/2014 04:55";"22/12/2014 04:55";"22/12/2014 06:05";"22/12/2014 06:05";"Realizado";"  "
"GLO";" 1161";"0";"R";"SBSV";"SBGR";"26/12/2014 03:29";"26/12/2014 03:29";"26/12/2014 06:05";"26/12/2014 06:05";"Realizado";"  "
"GLO";" 1093";"0";"N";"SBSG";"SBSV";"15/12/2014 04:35";"15/12/2014 04:35";"15/12/2014 06:05";"15/12/2014 06:05";"Realizado";"  "
