"SiglaEmpresa";"NumeroVoo";"DI";"TipoLinha";"AeroportoOrigem";"AeroportoDestino";"PartidaPrevista";"PartidaReal";"ChegadaPrevista";"ChegadaReal";"Situacao";"Justificativa"
"TAM";" 8101";"0";"I";"LFPG";"SBGR";"21/12/2014 18:10";"21/12/2014 18:10";"22/12/2014 05:55";"22/12/2014 05:55";"Realizado";"  "
"AZU";" 2899";"0";"R";"SBCY";"SBGR";"24/12/2014 03:25";"  ";"24/12/2014 05:55";"  ";"Cancelado";"XN"
"GLO";" 1821";"0";"N";"SBFZ";"SBGR";"21/12/2014 02:20";"21/12/2014 02:20";"21/12/2014 05:55";"21/12/2014 05:55";"Realizado";"  "
"TAM";" 8101";"0";"I";"LFPG";"SBGR";"04/12/2014 18:10";"04/12/2014 18:10";"05/12/2014 05:55";"05/12/2014 05:55";"Realizado";"  "
"SAA";" 0224";"0";"I";"FAJS";"SBGR";"24/12/2014 19:40";"24/12/2014 19:40";"25/12/2014 05:55";"25/12/2014 05:55";"Realizado";"  "
"TAM";" 8101";"0";"I";"LFPG";"SBGR";"24/12/2014 18:10";"24/12/2014 18:10";"25/12/2014 05:55";"25/12/2014 05:55";"Realizado";"  "
"AZU";" 2899";"0";"R";"SBCY";"SBGR";"27/12/2014 03:25";"  ";"27/12/2014 05:55";"  ";"Cancelado";"XN"
"GLO";" 1821";"0";"N";"SBFZ";"SBGR";"24/12/2014 02:20";"24/12/2014 02:20";"24/12/2014 05:55";"24/12/2014 05:55";"Realizado";"  "
"AZU";" 4191";"0";"N";"SBBE";"SBCF";"27/12/2014 02:44";"27/12/2014 02:44";"27/12/2014 05:55";"27/12/2014 05:55";"Realizado";"  "
"GLO";" 1821";"0";"N";"SBFZ";"SBGR";"04/12/2014 02:20";"04/12/2014 02:20";"04/12/2014 05:55";"04/12/2014 05:55";"Realizado";"  "
"ARG";" 1269";"0";"I";"SBBR";"SAEZ";"04/12/2014 02:55";"  ";"04/12/2014 05:55";"  ";"Cancelado";"XN"
"AZU";" 2899";"0";"R";"SBCY";"SBGR";"10/12/2014 03:25";"10/12/2014 03:25";"10/12/2014 05:55";"10/12/2014 05:55";"Realizado";"  "
"AZU";" 4191";"0";"N";"SBBE";"SBCF";"13/12/2014 02:44";"13/12/2014 02:44";"13/12/2014 05:55";"13/12/2014 05:55";"Realizado";"  "
